date,headline_link,headline_title,link,page,scraped_at,title
"Senin, 02 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/melaney-ricardo-terpapar-covid-19-bagaimana-kondisi-suami-dan-anak-f45bac.html,11.0,2020-11-22 21:41:40.641487,"Melaney Ricardo Terpapar Covid-19, Bagaimana Kondisi Suami dan Anak?"
"Senin, 02 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/foto-pernikahan-ke-4-tata-janeeta-diduga-diperistri-brotoseno---dituding-jadi-pelakor.html,11.0,2020-11-22 21:41:40.711732,"FOTO Pernikahan Ke-4 Tata Janeeta, Diduga Diperistri Brotoseno - Dituding Jadi Pelakor"
"Senin, 02 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/ziarah-ke-makam-ashraf-sinclair-potret-bcl-berkerudung-sambil-tertunduk-lesu-jadi-sorotan-8cc4d6.html,11.0,2020-11-22 21:41:40.785501,"Ziarah ke Makam Ashraf Sinclair, Potret BCL Berkerudung Sambil Tertunduk Lesu Jadi Sorotan"
"Senin, 02 November 2020",,,https://www.kapanlagi.com/showbiz/bollywood/dilarang-berkumpul-di-mannat-fans-rayakan-ultah-srk-dengan-donasi-5555-covid-kit-8d3b3c.html,11.0,2020-11-22 21:41:40.854550,"Dilarang Berkumpul di Mannat, Fans Rayakan Ultah SRK dengan Donasi 5.555 Covid Kit"
"Senin, 02 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/netizen-prediksi-kawin-cerai-lagi-kalina-ocktaranny-apa-yang-kamu-tahu-tentang-hidup-saya-b9066f.html,11.0,2020-11-22 21:41:40.917486,"Netizen Prediksi Kawin-Cerai Lagi, Kalina Ocktaranny: Apa yang Kamu Tahu Tentang Hidup Saya?"
"Senin, 02 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/pengakuan-mengejutkan-melaney-ricardo-dinyatakan-positif-covid-19-cb8153.html,11.0,2020-11-22 21:41:40.986309,Pengakuan Mengejutkan Melaney Ricardo Dinyatakan Positif Covid-19
"Senin, 02 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/9-potret-detail-rumah-baru-hamish-daud-dan-raisa-di-bali-rindang-banyak-pohon---ada-toilet-canggih-bernuansa-gold.html,11.0,2020-11-22 21:41:41.052529,"9 Potret Detail Rumah Baru Hamish Daud dan Raisa di Bali, Rindang Banyak Pohon - Ada Toilet Canggih Bernuansa Gold"
"Senin, 02 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/foto-foto-cinta-pertama-kalina-ocktaranny-semasa-sma-bule-ganteng-yang-bikin-gagal-move-on.html,11.0,2020-11-22 21:41:41.123431,"Foto-Foto Cinta Pertama Kalina Ocktaranny Semasa SMA, Bule Ganteng yang Bikin Gagal Move On"
"Senin, 02 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/usai-cerai-kalina-ocktaranny-kembali-pacaran-dengan-cinta-pertamanya-bfe20f.html,11.0,2020-11-22 21:41:41.194159,"Usai Cerai, Kalina Ocktaranny Kembali Pacaran dengan Cinta Pertamanya"
"Senin, 02 November 2020",,,https://www.kapanlagi.com/korea/super-junior-rilis-teaser-mv-the-melody-comeback-rayakan-15-tahun-berkarir-1cb629.html,11.0,2020-11-22 21:41:41.263020,"Super Junior Rilis Teaser MV 'The Melody', Comeback Rayakan 15 Tahun Berkarir"
"Senin, 02 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/perkara-hukum-bakal-diputus-5-november-2020-vanessa-angel-berharap-bebas-7a3c13.html,11.0,2020-11-22 21:41:41.335841,"Perkara Hukum Bakal Diputus 5 November 2020, Vanessa Angel Berharap Bebas"
